add,label,id,type,subject,predicate,object,value,known_by,chapter,story_order,scene_time,location,pov,source,evidence,line_start,line_end,confidence,extraction,relation_type,relation_dimension
true,Liora Vale's role is student.,659add2a-07fd-5213-890c-ead1430d267c,status,Liora Vale,role,,student,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Liora Vale, who had never stood inside a school of magic before",3,3,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale owns cracked leather trunk.,2d92857c-0ae8-57eb-85b2-9b3f4d4fdab1,possession,Liora Vale,owns,cracked leather trunk,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Liora tightened her grip on the handle of her cracked leather trunk,9,9,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale owns bone comb.,36fadf49-3184-5018-a3d1-69d1158a6ae9,possession,Liora Vale,owns,bone comb,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,her dark braid was pinned with her mother's bone comb,9,9,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Mira Ardent's affiliation is House Ardent.,0cff4a6e-03ca-5da4-a243-f75f7cb9a134,status,Seraphine Mira Ardent,affiliation,,House Ardent,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Seraphine Mira Ardent. House Ardent,11,11,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Mira Ardent's skin tone is dark brown.,afa92f26-49b4-5b51-a8d3-dbebaed2c43e,trait,Seraphine Mira Ardent,skin_tone,,dark brown,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,She had dark brown skin,11,11,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Mira Ardent's eye color is black.,badb97ec-1752-53ea-b722-faeb80129274,trait,Seraphine Mira Ardent,eye_color,,black,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,sharp black eyes,11,11,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Mira Ardent owns silver crescent-blade signet.,b6cb5d59-702e-5aaa-81a7-6558d5449c5a,possession,Seraphine Mira Ardent,owns,silver crescent-blade signet,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,a silver crescent-blade signet at her throat,11,11,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale is at Bracken Parish.,816b2d95-9801-52ea-bdf8-c029851cc5db,location,Liora Vale,origin,Bracken Parish,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,From Bracken Parish,15,15,1,gemini:gemini-3.1-flash-lite,,
true,Master Iven Quill's role is registrar.,82fb51b6-2e05-51fd-bbd4-800242287779,status,Master Iven Quill,role,,registrar,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Master Iven Quill, the registrar",23,23,1,gemini:gemini-3.1-flash-lite,,
true,Status | Tamsin Roe | origin | Halewater,e7aeacab-24ab-5309-b62e-9f8ac8e884dd,status,Tamsin Roe,origin,Halewater,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Tamsin Roe of Halewater,27,27,1,gemini:gemini-3.1-flash-lite,,
true,Status | Jun Cader | origin | Mourn,de055410-69ae-5dc2-82f6-8981115dc936,status,Jun Cader,origin,Mourn,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Jun Cader of Mourn,31,31,1,gemini:gemini-3.1-flash-lite,,
true,Ysilde Veyr's role is Headmistress.,83ec2e24-3378-577d-a897-1ed04b675716,status,Ysilde Veyr,role,,Headmistress,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Headmistress Ysilde Veyr,77,77,1,gemini:gemini-3.1-flash-lite,,
true,Veyr's role is headmistress.,5cff5729-d021-5f96-9975-003f0351b401,status,Veyr,role,,headmistress,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Headmistress Veyr,79,79,1,gemini:gemini-3.1-flash-lite,,
true,Mara Venn's role is scholarship student.,5e11fd5a-ea8b-57dc-9b0c-3a33ae29dcaf,status,Mara Venn,role,,scholarship student,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Mara Venn, scholarship student",89,89,1,gemini:gemini-3.1-flash-lite,,
true,Mara Venn's role is artificer candidate.,f43c1cca-95bf-5f25-b94f-ce1ed05b0c14,status,Mara Venn,role,,artificer candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,artificer candidate,89,89,1,gemini:gemini-3.1-flash-lite,,
true,Mara Venn's hair color is copper.,69ff07c2-9ea9-51bb-8747-c05196d2faca,trait,Mara Venn,hair_color,,copper,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,copper hair,91,91,1,gemini:gemini-3.1-flash-lite,,
